No,Fe,Cr,Mn,Si,Co,Mo,Ni,C,N,B,P,S,Al,Ti,Nb,Ta,Pb,Cu,Pre-irr,Irr,Temp,Stre,Dis,Swell
492,65.7041,16.5687,1.43929,0.460212,0.0263834,2.44702,13.1812,0.0493404,0.0156739,0.0020163,0.01,0.00621986,0.00312055,0.00234041,0.00780138,0,0,0.0765959,0.82888,8.79886,495.178,124.042,404259000000000.00,1.02143
493,65.1671,16.432,1.75089,0.506982,0.0539648,2.50698,13.3021,0.0589941,0.0239883,0.000386381,0.020793,0.0140947,0.00939648,0.01829,0.01,0.0179883,0.0179883,0.0879883,0,13.3361,566.539,6.33701,1448170000000000.00,13.6651
494,66.0734,16.604,1.45291,0.316652,0.0793348,2.43266,12.7773,0.0545862,0.0360541,0.000517362,0.0173596,0.0122931,0.00613304,0.0122661,0.00613304,0.0122661,0.0122661,0.093867,1.36504,11.85,513.898,0,682909000000000.00,7.73963
495,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,453.18,0,2000000000000000.00,1.07627
496,64.0152,16.7288,1.23524,0.4293,2.25615,2.38874,12.7598,0.045944,0.027801,0.0018916,0.010507,0.007014,0.001972,0.001479,0.00493,0,0,0.08521,0,4.47461,471.479,31.059,180000000000000.00,3.06066
497,62.8966,16.9628,0.946003,0.386765,4.14895,2.31218,12.1388,0.0425412,0.046091,0.00138118,0.0109323,0.0078647,0.000270607,0.000202956,0.000676519,0,0,0.0979704,0,2.12183,383.547,8.59179,180000000000000.00,0.0835359
498,65.4101,16.5238,1.65911,0.49294,0.0685301,2.47588,13.0821,0.0518111,0.0437425,0.000329131,0.0199528,0.0136352,0.00829399,0.016588,0.00829399,0.016588,0.016588,0.091706,0.655108,8.48976,673.911,0,854989000000000.00,1.22819
499,65.2549,16.4407,1.66816,0.49392,0.02784,2.49392,13.3979,0.05464,0.01528,0.0014096,0.015568,0.010176,0.006784,0.010888,0.01,0.00928001,0.00928001,0.07928,0,8.9616,469.832,72.3599,1024480000000000.00,4.32672
500,66.4301,16.7153,1.18209,0.401624,0.0723471,2.40765,12.5896,0.0487942,0.0349389,0.00129421,0.00457396,0.00479421,0.00158843,0.00119132,0.00397107,0,0,0.100145,0,3.86785,397.325,158.843,180000000000000.00,2.64896
501,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,2.51152,428.058,68.1062,180000000000000.00,0.270693
502,65.6479,16.5727,1.44396,0.46885,0.0245311,2.44878,13.1878,0.0673948,0.029416,0.00212088,0.010223,0.00644602,0.00310796,0.00233097,0.0077699,0,0,0.0766903,0.856358,8.79742,495.682,123.541,180000000000000.00,3.8621
503,65.2784,16.443,1.64608,0.490433,0.0208669,2.49043,13.4235,0.0534778,0.0129556,1.68E-03,0.0141734,0.00913004,0.00608669,0.0089123,0.01,0.00695565,0.00695565,0.0769556,0,9.17369,487.955,41.0897,180000000000000.00,9.44375
504,65.483,16.4977,1.51851,0.473576,0.0458888,2.46256,13.3522,0.0496329,0.01013,0.00236233,0.00990822,0.00627533,0.00363289,0.00272467,0.00908222,0,0,0.0727533,0,6.14387,483.354,0,2741190000000000.00,-0.0827458
505,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,4.00E-03,3.00E-03,1.00E-02,0,0,0.07,0,8.71899,461.569,91.1384,180000000000000.00,5.22888
506,67.2166,16.9629,0.954608,0.180499,0.11,2.31461,12.0261,0.0833255,0.0312636,0.0011,0.0109216,0.008,0,0,0,0,0,0.1,3.64059,8.44,620,0,650025000000000.00,9.23407
507,66.6793,16.7832,1.11731,0.38714,0.106073,2.39482,12.2894,0.0507855,0.0475005,0.000418757,0.0058746,0.00655336,0.00232124,0.00464247,0.00232124,0.00464247,0.00464247,0.113036,0,4.93906,523.282,0,370341000000000.00,4.7648
